"","level","Overall","Non-AH","AH","p","test","Missing"
"n","","108","72","36","","",""
"hrs_responders_cat_2 (%)","0","59 (54.6)","39 (54.2)","20 (55.6)","1.000","","0.0"
"","1","49 (45.4)","33 (45.8)","16 (44.4)","","",""
