"","level","Overall","Non-AH","AH","p","test","Missing"
"ace_arb_preadmission (%)","0","212 (90.6)","162 (91.5)","50 (87.7)","0.552","","3.3"
"","1","22 (9.4)","15 (8.5)","7 (12.3)","","",""
"ascites_previous_comp (%)","0","32 (13.2)","15 (8.2)","17 (29.3)","<0.001","","0.0"
"","1","210 (86.8)","169 (91.8)","41 (70.7)","","",""
"refascites_previous_comp (%)","0","92 (45.3)","69 (42.1)","23 (59.0)","0.084","","16.1"
"","1","111 (54.7)","95 (57.9)","16 (41.0)","","",""
"he_previous_comp (%)","0","98 (40.8)","64 (35.2)","34 (58.6)","0.003","","0.8"
"","1","142 (59.2)","118 (64.8)","24 (41.4)","","",""
"sbp_previous_comp (%)","0","195 (81.2)","144 (79.1)","51 (87.9)","0.192","","0.8"
"","1","45 (18.8)","38 (20.9)","7 (12.1)","","",""
"nonsbp_previous_comp (%)","0","187 (79.9)","136 (76.8)","51 (89.5)","0.060","","3.3"
"","1","47 (20.1)","41 (23.2)","6 (10.5)","","",""
"phtn_bleed_previous_comp (%)","0","183 (75.9)","135 (73.8)","48 (82.8)","0.223","","0.4"
"","1","58 (24.1)","48 (26.2)","10 (17.2)","","",""
"hcc_previous_comp (%)","0","221 (91.7)","165 (90.2)","56 (96.6)","0.206","","0.4"
"","1","20 (8.3)","18 (9.8)","2 (3.4)","","",""
"tips_previous_comp (%)","0","221 (91.3)","166 (90.2)","55 (94.8)","0.412","","0.0"
"","1","21 (8.7)","18 (9.8)","3 (5.2)","","",""
"he_terli_day0 (%)","0","161 (67.1)","124 (67.8)","37 (64.9)","0.860","","0.8"
"","1","54 (22.5)","40 (21.9)","14 (24.6)","","",""
"","2","19 (7.9)","15 (8.2)","4 (7.0)","","",""
"","3","5 (2.1)","3 (1.6)","2 (3.5)","","",""
"","4","1 (0.4)","1 (0.5)","0 (0.0)","","",""
"location_terli_day0 (%)","1","135 (58.2)","105 (58.7)","30 (56.6)","0.588","","4.1"
"","2","42 (18.1)","30 (16.8)","12 (22.6)","","",""
"","3","55 (23.7)","44 (24.6)","11 (20.8)","","",""
"terli_route_day0 (%)","1","206 (85.1)","161 (87.5)","45 (77.6)","0.101","","0.0"
"","2","36 (14.9)","23 (12.5)","13 (22.4)","","",""
"akin (%)","1","64 (27.6)","50 (28.4)","14 (25.0)","0.869","","4.1"
"","2","70 (30.2)","53 (30.1)","17 (30.4)","","",""
"","3","98 (42.2)","73 (41.5)","25 (44.6)","","",""
"ckd_baseline (%)","0","127 (59.1)","90 (54.9)","37 (72.5)","0.038","","11.2"
"","1","88 (40.9)","74 (45.1)","14 (27.5)","","",""
"time_to_death_status_90days_cmp (%)","0","87 (36.0)","62 (33.7)","25 (43.1)","0.011","","0.0"
"","1","99 (40.9)","71 (38.6)","28 (48.3)","","",""
"","2","56 (23.1)","51 (27.7)","5 (8.6)","","",""
"hrs_responders_cat_2 (%)","0","109 (45.0)","78 (42.4)","31 (53.4)","0.185","","0.0"
"","1","133 (55.0)","106 (57.6)","27 (46.6)","","",""
"HRS_reversal_new (%)","0","167 (69.0)","125 (67.9)","42 (72.4)","0.631","","0.0"
"","1","75 (31.0)","59 (32.1)","16 (27.6)","","",""
